29.42 5318700 1 0.00625
28.44 3304100 1 0
23.63 5793000 1 0.00625
26.06 5056900 1 0
28.01 4054700 1 0
26.6 2801800 1 0.00625
30.26 3959500 1 0
30.99 2938700 1 0
31.77 3535100 1 0.00625
35.19 3203600 1 0
32.26 2846000 1 0
29.08 4058400 1 0
28.33 4189100 1 0.00625
35 4311800 1 0
48.51 6750100 1 0.00625
57.09 5766400 1 0
50.96 4660300 1 0
56.84 6271100 1 0
60.57 4412900 1 0.00625
50.03 6838500 1 0
50.76 7437100 1 0
55.97 5365000 1 0.00625
66.4 7984000 1 0
60.88 7159600 1 0
33.43 14676800 1 0.00625
32.94 9471600 1 0
31.71 6647300 1 0
42.34 5385000 1 0.00625
36.56 6347300 1 0
35.33 5558700 1 0
29.95 4411200 1 0.00625
34.39 3141400 1 0
36.78 6238100 1 0.00625
34.19 3992000 1 0
39 5573600 1 0
36.9 3536900 1 0
37.44 5656000 1 0.00625
36.08 4571600 1 0
39.72 7176400 1 0.00625
38.73 5448000 1 0
44.17 9126400 1 0
34.7 7970700 1 0
37.1 5138900 1 0.0125
39.08 6060200 1 0
50.05 7260100 1 0.00625
47.44 5366500 1 0
41.73 4565200 1 0
41 5517600 1 0.00225
38.27 3623800 1 0
43.92 5257700 1 0
44.92 6459100 1 0
49.78 4925500 1 0.00225
39.71 4248900 1 0
42.2 4142900 1 0
32.14 3738500 1 0.00225
26.11 6201300 1 0
34.56 4430000 1 0.00625
36.99 4846900 1 0
44.59 3403800 1 0
46.63 4412300 1 0.00625
47.63 3462600 1 0
40.15 3145000 1 0
56.66 4538200 1 0.00625
63.27 3537700 1 0
74 4904500 1 0
82.07 4468200 1 0.00625
85.66 2999000 1 0
99.52 4216100 1 0
113.43 5143500 1 0.00625
69.89 3906900 2 0
68.64 3452600 1 0
67.23 5427700 1 0.00625
55.05 4281200 1 0
101.98 5180300 1 0
111.31 5700800 1 0.00625
120.94 5663000 1 0
112.56 4178000 1 0
130 4308900 1 0.00625
114.5 3341400 1 0
130 2162200 1 0
155.25 5119100 1 0.00625
76.06 6232100 2 0
63.38 8032600 1 0
58.19 9562700 1 0
43.69 13423400 1 0.0065
29.06 16140400 1 0
34.97 12360700 1 0.0065
44.91 11192600 1 0
39.77 7246200 1 0
47 8506400 1 0.0065
37.49 9557800 1 0
33.61 7457700 1 0
23.98 11941400 1 0.0065
26.4 11711500 1 0
32.08 7683700 1 0
31.05 7724400 1 0.0065
33.7 7823700 1 0
36.38 6395200 1 0
40.29 7471900 1 0.0065
39.96 7672000 1 0
36.1 9136500 1 0
28.5 13111100 1 0.0065
23.96 8411000 1 0
20.1 8539000 1 0
19.1 7141500 1 0.0065
23.64 8488400 1 0
29.53 7091200 1 0
24.8 6748300 1 
26.42 6047600 1 0.0065
27.5 5710500 1 0
30.83 10151400 1 0.0065
34.53 7035400 1 0
35.32 6837300 1 0
32.07 10766600 1 0.0065
32.73 5960200 1 0
38.83 5163600 1 0
39.39 9000100 1 0.0065
43.76 6029300 1 0
41.31 7122200 1 0
39.08 7509800 1 0
38.3 8800900 1 0.0065
37.25 6056500 1 0
39.3 8057500 1 0.0065
41.5 6269500 1 0
44.63 6492200 1 0
46.5 6023500 1 0.0065
42.18 5759800 1 0
45.87 4529600 1 0
49.47 5811400 1 0.0065
56.03 5338700 1 0
60.56 4243400 1 0
62.74 4865700 1 0.0065
56.9 5699700 1 0
61.75 5219000 1 0
67.17 5781900 1 0.0065
59.47 10298900 1 0
33.12 6155000 2 0
28.61 6576500 1 0
29.64 6327100 1 0
27.04 6291800 1 0
29.85 5802100 1 0
32.25 7258500 1 0
32.61 4494700 1 0
36.96 9294600 1 0
39.73 6524600 1 0
38.55 4253200 1 0
34.95 5309800 1 0
39.2 4471100 1 0
28.63 8397100 1 0
30.36 9192400 1 0
28.51 5105700 1 0
32.44 4759600 1 0
37.46 6813000 1 0
38.25 5018300 1 0
40.16 4590400 1 0
41.12 5726700 1 0
